DV,Parameter,AgeGroup,N,Mean,SD,Median,IQR
SRT,t0,< 7 years,110,386.2328,101.9326,390.4401,124.0610
SRT,t0,7-12 years,117,318.9903,55.7161,320.6847,68.4830
SRT,t0,13-17 years,56,249.1765,41.9569,250.1065,43.2410
SRT,t0,18-30 years,1297,267.7667,50.7246,264.2875,71.9160
SRT,t0,65+ years,72,371.2168,92.9508,349.1607,119.8223
SRT,lambda,< 7 years,110,401.0590,234.6439,322.7094,193.7930
SRT,lambda,7-12 years,117,179.3314,53.5078,163.9479,55.1864
SRT,lambda,13-17 years,56,163.8510,26.2485,159.4761,20.8672
SRT,lambda,18-30 years,1297,126.0818,26.5732,120.0776,25.6470
SRT,lambda,65+ years,72,281.9186,188.8232,227.0823,102.0996
SRT,kappa,< 7 years,110,1.9085,1.0724,1.7381,1.1098
SRT,kappa,7-12 years,117,2.6217,1.3673,2.2389,1.5070
SRT,kappa,13-17 years,56,4.3233,1.1411,4.4722,1.6080
SRT,kappa,18-30 years,1297,2.8618,1.2071,2.7154,1.6316
SRT,kappa,65+ years,72,2.6867,1.3019,2.4408,2.2140
MT,t0,< 7 years,110,372.5712,210.5405,337.7798,153.4085
MT,t0,7-12 years,117,197.2653,64.5154,190.9313,73.6998
MT,t0,13-17 years,56,159.7152,47.6871,147.7661,58.3164
MT,t0,18-30 years,1297,155.6205,49.0062,148.5290,62.2886
MT,t0,65+ years,72,354.2904,214.7976,298.0829,204.8632
MT,lambda,< 7 years,110,684.0913,636.1679,391.6973,563.8169
MT,lambda,7-12 years,117,219.2297,117.7330,187.0669,62.4655
MT,lambda,13-17 years,56,147.2640,31.3267,141.9716,36.1073
MT,lambda,18-30 years,1297,149.9116,41.5573,143.7959,27.6815
MT,lambda,65+ years,72,518.0455,495.4859,309.2666,241.9162
MT,kappa,< 7 years,110,2.0226,1.2595,1.5555,1.7491
MT,kappa,7-12 years,117,2.2467,1.4514,1.5391,2.6326
MT,kappa,13-17 years,56,3.1516,1.4423,3.5641,2.5029
MT,kappa,18-30 years,1297,4.0149,1.5771,4.2244,2.2024
MT,kappa,65+ years,72,3.8316,1.8614,4.3097,3.5713
