DV,Parameter,Group_i,Group_j,Mean_i,Mean_j,MeanDiff,SE,t,df_welch,p,Cohen_d,Significant
SRT,t0,< 7 years,7-12 years,386.2328,318.9903,67.2425,10.9995,6.1132,166.49,0,0.8186,1
SRT,t0,< 7 years,13-17 years,386.2328,249.1765,137.0563,11.2202,12.2152,158.77,0,1.7584,1
SRT,t0,< 7 years,18-30 years,386.2328,267.7667,118.4661,9.8204,12.0632,113.62,0,1.4715,1
SRT,t0,< 7 years,65+ years,386.2328,371.2168,15.016,14.6443,1.0254,161.56,1,0.1539,0
SRT,t0,7-12 years,13-17 years,318.9903,249.1765,69.8138,7.6136,9.1696,139.8,0,1.4156,1
SRT,t0,7-12 years,18-30 years,318.9903,267.7667,51.2236,5.34,9.5923,133.93,0,0.9614,1
SRT,t0,7-12 years,65+ years,318.9903,371.2168,-52.2265,12.105,-4.3145,102.79,0.000369,-0.6815,1
SRT,t0,13-17 years,18-30 years,249.1765,267.7667,-18.5902,5.7809,-3.2158,62.15,0.020657,-0.3994,1
SRT,t0,13-17 years,65+ years,249.1765,371.2168,-122.0403,12.3058,-9.9173,103.87,0,-1.6924,1
SRT,t0,65+ years,18-30 years,267.7667,371.2168,-103.4501,11.0445,-9.3666,73.37,0,1.3816,1
SRT,lambda,< 7 years,7-12 years,401.059,179.3314,221.7276,22.9128,9.677,119.65,0,1.3029,1
SRT,lambda,< 7 years,13-17 years,401.059,163.851,237.208,22.6457,10.4747,114.29,0,1.4208,1
SRT,lambda,< 7 years,18-30 years,401.059,126.0818,274.9772,22.3846,12.2842,109.24,0,1.6468,1
SRT,lambda,< 7 years,65+ years,401.059,281.9186,119.1404,31.5551,3.7756,172.36,0.002194,0.5594,1
SRT,lambda,7-12 years,13-17 years,179.3314,163.851,15.4804,6.0642,2.5528,170.87,0.115623,0.3673,0
SRT,lambda,7-12 years,18-30 years,179.3314,126.0818,53.2496,5.0015,10.6467,121.21,0,1.2605,1
SRT,lambda,7-12 years,65+ years,179.3314,281.9186,-102.5872,22.7962,-4.5002,78.07,0.000234,-0.7392,1
SRT,lambda,13-17 years,18-30 years,163.851,126.0818,37.7692,3.5844,10.5372,59.97,0,1.43,1
SRT,lambda,13-17 years,65+ years,163.851,281.9186,-118.0676,22.5278,-5.241,74.51,0.000014,-0.8759,1
SRT,lambda,65+ years,18-30 years,126.0818,281.9186,-155.8368,22.2653,-6.9991,71.16,0,1.1558,1
SRT,kappa,< 7 years,7-12 years,1.9085,2.6217,-0.7131,0.1626,-4.3863,218.09,0.000179,-0.5804,1
SRT,kappa,< 7 years,13-17 years,1.9085,4.3233,-2.4147,0.1836,-13.1528,104.88,0,-2.1808,1
